osm_type,osm_id,otherIDs
w,5208641,n36431995 n36431996 n36431997 n1408686161 n36431998 n36431999 n5451720402 n311318267 n310381108 n1408686063 n36432001 n36432002 n401297557 n322704299 n5153653372 n5153653371 n322705332 n36432003 n322704302 n1408686022 n389469384 n5435151406 n36432004 n350555617 n1408686004 n310605635 n36432005 n940452827 n173948545 n36432006 n173357159 n356759084 n1408685988 n1408469686 n357543103 n357544047 n36432008 n36432009 hsecondary
w,5848234,n36125913 n59768208 hsecondary
w,6062308,n49872642 n975488058 n49872645 n49872651 hsecondary
w,6062311,n49872802 n49872805 n3041110224 n3041110226 n49872808 n49872811 n49872814 n49872818 n49872821 n49872835 n3015986427 n49872838 n5771534107 n49872841 n5771534108 n5771534106 n49872843 n49872846 n49872849 n49872851 n5771534109 n3015986432 n49872853 n49872855 n49872859 n49872862 n3015986736 n49872866
w,6065796,n32011363 n5489339374 n2484142835 n1338455731 n2534824996 n1338455709 n1338455732 n2484142822 n2484142825 n49939554 n1338455696 n279980770 n1338455803 n2484142827 n49939556 n1338455796 n5489321558 n49939552 n1338455806 n2484142829 n2484142831 n2484142833 n268235490 n1338455720 n32011363 hsecondary
w,6071235,n376936337 n50003951
w,6071236,n50003951 n1378762208 n50003950
w,6268898,n48075340 n46933223 hsecondary
w,7020402,n4834212557 n60754572 n4846000953 n96060085 n26447782 n96060086 n26447781
w,7650851,n36158376 n3779869590 n1362858607 n1362858606 n35810461 n486307062 n59715870 n59715871 n35811479 n59715872 n59715873 n205354280 hsecondary
w,7759232,n35714824 n3684745099 n998213288 n573395801 n1038564630 hsecondary
w,7960728,n995356645 n3105780511 n59430692 n1353718302 n269468851 n2784301901 n1353718301 n4348663303 n2784301897 n4348663302 n1353718299 hprimary
w,7988494,n46745805 n39284718 n458400176 n427683871 n39284711 n3076972080 n36125910 n36125913 hsecondary
w,8602431,n61154507 n4680530664 n4680530665 n4680530666 n4680530667 n4680531399 n4680530651 n4680531398 n4680530650 n4680531397 n61154506 n4680531396 n4680530649 n61154504 n4680531394 n4680530647 n4680531395 n4680530648 n4680530537 n4680527913 n4680531393 n61154503 n4680519869 n4680530637 n4680531191 n4680530534 n4680531190 n4680531189 n61154502 n4680528788 n4680530635 n4680530634 n61154501 n4680528786 n4680530633 n4680528787 n4680530632 n61154500 n4680528785 n61154499 n4680530631 n61154498 n1820080266 n1820080268 n4680840868 n4680840757 n61154497 n61154496 n4680840758 n61154495 n3409225842 n61154494 n3409225843 n4680840880 n1820080277 n61154493 n1820080275 n61154492 n61154491 n1820080273 n61154490 n1820080282 n4680840760 n364801203 n4680840892 n61154489 n4680840996 n61154488 n4680839177 n4680840387 n4680840762 n4681262735 n4680840995 n61154487 n61154486 n4681265512 n2782233397 n4681265511 n2782233395 n4681268097 n61154485 n4680840998 n4681265711 n2121538121 n2782233394 n4681268096 n2121538120 n61154484 n4681265710 n61154483 n4681266498 n4681265510 n2121538122 n61154482 n4681269090 n4681265709 n61154481 n4681262732 n2782233396 n2121538123 n4681285689 n61154479 n4681268990 n61154478 n61154477 n1820080284 n4681265633 n61154476 n4682527213 n1820080287 n4682527229 n61154475 n2667197591 n4682527228 n1385274578 n61154474 n1385274587 n61154473 n61154472 n61154471 n1820080295 n61154470 n61154469 n4776125229 n4776125230 n61154468 n4776128638 n4776128637 n61154467 n4776128925 n61154466 n4776128636 n61154465 n61154464 n2414311318 n69127390 n2414311310 n61154463 n61154462 n2414311301 n4741576148 n4741599639 n61154461 n2414311295 n4741600621 n61154460 n4741576486 n1820080280 n2414311284 n2414311280 n61154458 n61146485
w,8602437,n61154651 n2613385096 n61154747 n4680773302 n2613385108 n4680772986 n61154748 n2613385098 n4680773303 n2613385097 n61154749 n2613385106 n61154750 n61154751 n61154752 n61154753 n4680531437 n4680530541 n4680530542 n4680531438 n61154754 n4680531682 n4680531761 n61154756 n4680531696 n61154757 n4680531427 n61154758 n4680531425 n4680531426 n61154759 n4680531420 n4680531421 n4680531422 n4680531423 n4680531424 n4680531419 n61154760 n4680531418 n61154761 n61154762 n4680531417 n4680527907 n4680531416 n4680531415 n61154763 n4680531412 n4680531413 n4680531414 n61154764 n4680531411 n4680531410 n4680531407 n61154765
w,8602448,n61154765 n4680531408 n4680527908 n4680531409 n61155145 n4680531406 n4680531405 n61155146 n4680531404 n4680531403 n4680531402 n61155148 n4680531401 n4680530687 n4680527916 n4680530688 n4680531689 n4680531400 n4680530686 n61155149 n4680530685 n4680527915 n4680530684 n4680530539 n61155150 n4680530680 n4680527914 n4680530681 n4680530682 n4680530683 n4680530679 n4680530678 n4680530538 n4680530673 n61154507
w,9455196,n269185224 n324614025 n324614026 n324614031 n3722385060 n324614036 n2387132866 n357367954 n324614037 n324612270 n324614040 n324614042 n324614043 n324614044 n324614045 n324614046 n324614047 n324614048 n324614053 n357365897 n324614056 n324614058 n324614059 n324614060 n324614061 n357365645 n357365644 n324614062 n1417103679 n324614063 n324614066 n3722385068 n324614067 n3686243725 n324614068
w,9455210,n324614068 n71840678 n76726561 n71840679 n3462448206 n71840681 n72162581 n71840682 n71840684 n3520725853 n3520725855 n71840686 n3474848896 n71840688 n71840691 n71840692 n3474848906 n71840693 n3474848910 n71840695 n71840696 n71840698 n71840699 n71840701 n71840702 n71840704 n71840706 n71840707 n71840708 n76723759 n71840709 n71846324
w,9673934,n71846324 n71846325 n71846326 n71846327 n76723776 n71846328 n71846329 n71846330 n71846331 n76724664 n71846332 n71846333 n71846334 n71846335 n71846338 n71846340 n71846341 n71846342 n71846345 n71846346 n3168330761 n3168330762 n71846348 n286805559 n3712835469 n618812918 n618812923 n71846351 n4463240686 n3167809183 n4463240697 n3167809186 n3167809194 n618812929 n286805687 n90490203
w,19780616,n206090246 n2463059546 n5503537957 n5503537956 n5503537954 n5503537955 n206089933
w,19780617,n206090608 n5503537982 n5503537981 n5503537980 n282832281
w,24760779,n1025605382 n27388309 n269078697 n5237906099 n269078696 n269078695 n4537531912 n3393536983 n269078693 n269078692 n269078691 n3252083377 n4125790230 n27388444 n269078742 n269078743 n269078744 n269078745 n269078746 n27387604 n269078747 n269078748 n60206262 n275565892 n275565893 n275565894 n275565895 n275565896 n275565897 n275565898 n275565899 n275565900 n275565901 n2303421844
w,25827132,n281710387 n206090608
w,25967724,n324955867 n283287643 n283287644 n2951382393 n283287645 n2951382394 n1087127128 n2951382395 n283287646 n2523966707 n283287647 n2523966741 n2523966763 n283287648 n2523966816 n2523966845 n283287649 n2523966907 n2523966957 n283287650 n2523967142 n283287651 n283287652 n283287653 n306451558 n306451559 n1087127072 n306451560 n2595960354 n2595960348 n2595960365 n306451561 n2595960367 n306451562 n2595960369 n306451563 n2595960372 n306451564 n2595960377 n306451565 n2595960380 n306451566 n2591712461 n306451567 n21265515
w,26262484,n858402325 n287638382 hsecondary
w,26590311,n275565004 n275565005 n1030164010 n1030164151 n275565007 n275565008 n4983357609 n1165717570
w,26927446,n54652673 n295056296 n54657766 n54657768 n970672879 n54657772 n1327596778 n1327596742 n1327596773 n1327596802 n54657774 n54657780 n1327596754 n4255013308 n1327596783 n54657783 n54657792 n54657795 n4255013316 n4255013317 n2952016541 n2952016544 n54657799 n2952016550 n2952016553 n54669090 n1709393174 n54669093 n54669101 n1709393176 n54669102 n1709393177 n54669104 n54669108 n1510072994 n54669115 n2848092244 n54669126 n2409260718 n54669137 n54669143 n54669150 n2409260727 n1709393188 n54669153 n1715874017 n2409260739 n54669156 n54669158 n2409260747 n1715874018 n2409260753 n54669162 n1715874022 n54669164 n1715874024 n295043784 n54669168 n1715874026 n2409260771 n54669172 n2409260774 n54669176 n2409260780 n2409260783 n2409260787 n2409260792 n54669181 n54669185 n2409260804 n2409260805 n54669189 n1184118763 n1184118369 n54669195 n1102313642 n54669200 n1184118724 n54669205 n54669210 n1184118798 n54669214 n1184118376 n54669217 n1184118695 n54669220 n54669224 n1184118385 n54669227 n1184118374 n1742866322 n1742866331 n54669232 n1742866342 n1742866351 n54669238 n1742866363 n1742866368 n54669244 n1742866383 n1742866387 n54669247 n302774530 n1742866420 n4950670166 n4950670176 n4950670175 n54669252 n1742866448 n4950670163 n54669254 n4950670153 n4950670159 n335744537 n54669260 n335744538 n335744540 n2409260850 n54669264
w,27436122,n32011308 n1339417236 n5480882544 n545752220 hprimary
w,27728130,n2688321286 n276040251 hprimary
w,27728131,n2925948986 n3608438261 hprimary
w,28256436,n310318207 n2648704890 hsecondary
w,28256438,n310318208 n305928263 n36432012 n36432013 n306083569 n4734638822 n316458928 n306083588 hsecondary
w,28285219,n36431974 n4374551079 n36431975 n339369918 n36431976 n339368497 n36431977 hsecondary
w,28526377,n25635697 n36431968 n36431969 n1042910971 n314942811 hsecondary
w,28712147,n315636817 n3041268851 n315636824 n315636825
w,28712148,n315636831 n315636832 n4233957029 n5146022444 n315636833 n315636834 n5146022445 n4233957008 n315636831 Q1792561
w,28712184,n315636825 n3041110222 n4231615561 n3041110225 n4233957016 n3041110227 n315636977 n315636978 n3041110231 n326058724 hresidential
w,28712186,n315636993 n5771534111 hresidential
w,28712187,n315637000 n315637001 n315637002 n315637003 n3041110776 n3041110782 n315637004 n315637005 n3041110794 n315637009 n3041110791 n315637012 n3041110780 n315637013 n315637014 n315637015
w,28712189,n49872651 n3021045544 n3021045545 n315637031 n3021045546 n315637032 n3021045552 n315637033 n315637034 n3021045553 n3021045554 n3021045555 n315637035 n3021045556 n315637036 n3021045557 n315637037 n315637038 n315637039 n315637040 n315637041 n315637042 n3021045559 n3021045560 n315637043 n3021045561 n315637044 n315637045 n3021045565 n315637046 n3021045570 n3021045573 n315637047 n315637048 n315637049 htrack
w,28785388,n316511165 n316511163 hprimary
w,28785389,n316511163 n59430757 n316511167 n2895976208 hprimary
w,29377944,n1174477330 n36723928 n36723927 n1174477263 n36723925 n1174477351 n1676398689 n323144039 hprimary
