osm_type,osm_id,wd_ids,wd_member_ids
n,29869223,{4244296},
n,32011279,{49660},
n,205354280,{642396},
n,206090717,{1572410},
n,240077147,{991615},
n,240079149,{49655},
n,240080206,{49657},
n,240092661,{49662},
n,240100249,{49654},
n,240106262,{49663},
n,240120066,{49651},
n,254263874,{49659},
n,336434227,{666531},
n,441569558,{75570},
n,523963242,{4134274},
n,890269809,{4296878},
n,978592004,{4332782},
n,1353606655,{4528266},
n,1476428403,{206798},
n,1557352018,{4072361},
n,1966389666,{1844},
n,1979824970,{125968},
n,2713010522,{2065492},
n,2784301904,{673660},
n,3016379389,{4142758},
n,3016379390,{4232662},
n,3016379392,{6486496},
n,3018766378,{4364503},
n,3022807520,{4540},
n,3027296239,{49661},
n,3027296240,{4063561},
n,3027299947,{4133703},
n,3107935394,{949245},
n,3565824548,{4497169},
n,3612254325,{4327845},
n,3722412500,{347},
n,4845609798,{2064447},
n,4890791291,{84489},
r,51701,{40},Q27854139
r,74804,{39},Q11925 Q64178 Q1012141
r,74942,{698606},
r,75152,{38981},Q27854139
r,75155,{384914},Q27854139
r,75164,{183104},Q27854139
r,76682,{698577},
r,123924,{646969},
r,285633,{584},
r,303432,{460455},Q659729 Q694782
r,1155945,{645385},
r,1155946,{49654},
r,1155947,{49655},
r,1155948,{49662},
r,1155949,{49651},
r,1155950,{4540},
r,1155951,{49659},Q27854139
r,1155952,{49661},
r,1155953,{49657},
r,1155954,{49663},Q1012141
r,1155955,{49660},
r,1155956,{347},Q1012141 Q27854139
r,1252853,{1844},
r,1665395,{694782},Q2175456
r,1683869,{68281},
r,1683931,{68277},
r,1683938,{64571},
r,1683939,{69393},
r,1683961,{69612},
r,1684081,{66788},
r,1684110,{65386},
r,1686631,{64178},Q1012141
r,1687006,{11925},Q1012141
r,1687101,{12746},
r,1687214,{188220},
r,1687219,{661066},
r,2018280,{75069},
r,2113486,{23013948},Q1012141
r,2128682,{1265938},Q1265938
r,2658455,{659729},
r,2698607,{458},Q1286
r,2707694,{1286},Q156065 Q202760 Q597004 Q1225854 Q7074727 Q7897579
r,3660335,{681581},
r,3989387,{368882},Q4528266
r,5418968,{873709},Q27854139
r,5418969,{2436722},
w,28712184,{1792561},
w,29475388,{156065},
w,39727084,{7074727},
w,67146266,{7897579},
w,134222984,{2175456},
w,168717890,{1225854},
w,329411217,{597004},
w,364701919,{27854139},
w,424375868,{202760},
w,439223492,{1012141},
